entry_type,transaction_date,category,amount
expense,2026-02-14,gf_dates,"S/ 1,200"
expense,2026-02-15,utilities,245.10
expense,2026-02-16,hygiene,41
expense,2026-02-17,groceries,394
expense,2026-02-17,transport,65
expense,2026-02-25,fast_food,81
expense,2026-02-26,groceries,388
expense,2026-02-26,pets,1900
expense,2026-02-27,pets,161
income,2026-02-28,salary,4800
expense,2026-03-01,rent,1500
expense,2026-03-01,gf_dates,184
expense,2026-03-03,subscriptions,53.30
expense,2026-03-04,groceries,246
expense,2026-03-05,telecom,119.9
expense,2026-03-08,pets,86
expense,2026-03-08,pharmacy,107.08
expense,2026-03-10,utilities,257.36
expense,2026-03-10,transport,51
expense,2026-03-13,groceries,409
expense,2026-03-15,fast_food,79
expense,2026-03-15,hygiene,48
expense,2026-03-18,groceries,273
expense,2026-03-18,transport,74
expense,2026-03-22,fast_food,66
expense,2026-03-23,transport,38
expense,2026-03-27,groceries,413
income,2026-03-28,salary,4800
expense,2026-04-01,rent,1500
expense,2026-04-03,groceries,323
expense,2026-04-04,subscriptions,36.69
expense,2026-04-05,telecom,119.9
expense,2026-04-07,transport,31
expense,2026-04-09,utilities,-450
expense,2026-04-10,utilities,243.16
income,2026-04-10,freelance,643
expense,2026-04-12,groceries,354
expense,2026-04-13,pets,153
expense,2026-04-14,fast_food,53
expense,2026-04-16,transport,77
expense,2026-04-18,groceries,328
expense,2026-04-21,cleaning,39
expense,2026-04-22,transport,53
expense,2026-04-22,hygiene,86
expense,2026-04-26,gf_dates,228
expense,2026-04-27,groceries,269
expense,2026-04-28,fast_food,70
income,2026-04-28,salary,4800
expense,2026-05-01,rent,1500
expense,2026-05-01,pets,179
expense,2026-05-02,hygiene,52
expense,2026-05-03,transport,85
expense,2026-05-04,subscriptions,39.76
expense,2026-05-04,groceries,276
expense,2026-05-06,telecom,119.9
expense,2026-05-07,fast_food,78
expense,2026-05-09,gf_dates,238
expense,2026-05-11,groceries,395
expense,2026-05-13,utilities,156.82
expense,2026-05-14,fast_food,57
expense,2026-05-17,groceries,309
expense,2026-05-18,transport,79
expense,2026-05-19,pharmacy,1650
expense,2026-05-24,groceries,230
expense,2026-05-28,transport,40
income,2026-05-28,salary,4800
expense,2026-06-01,rent,1500
expense,2026-06-03,groceries,370
expense,2026-06-03,transport,69
expense,2026-06-03,cleaning,54
expense,2026-06-04,subscriptions,39.75
expense,2026-06-06,transport,29
expense,2026-06-07,pharmacy,113.58
expense,2026-06-08,telecom,119.9
expense,2026-06-08,fast_food,52
expense,2026-06-10,groceries,230
expense,2026-06-11,utilities,256.25
expense,2026-06-11,gf_dates,240
expense,2026-06-17,transport,30
income,2026-06-17,freelance,771
expense,2026-06-17,,75
expense,2026-06-19,fast_food,44
expense,2026-06-19,pets,137
expense,2026-06-20,groceries,321
expense,2026-06-20,hygiene,43
expense,2026-06-25,groceries,231
income,2026-06-28,salary,4800
expense,2026-07-01,rent,1500
expense,2026-07-01,pets,147
expense,2026-07-03,transport,82
expense,2026-07-04,subscriptions,41.64
expense,2026-07-05,groceries,311
expense,2026-07-05,transport,86
expense,2026-07-07,telecom,119.9
expense,2026-07-10,groceries,222
expense,2026-07-11,utilities,220.60
expense,2026-07-12,transport,44
expense,2026-07-15,fast_food,76
income,2026-07-15,bonus,1200
expense,2026-07-17,groceries,235
expense,2026-07-18,gf_dates,138
expense,2026-07-22,gf_dates,2500
expense,2026-07-23,fast_food,47
expense,2026-07-25,groceries,321
expense,2026-07-26,hygiene,86
income,2026-07-28,salary,4800
expense,2026-08-01,rent,1500
expense,2026-08-04,groceries,274
expense,2026-08-05,subscriptions,37.89
expense,2026-08-06,telecom,119.9
expense,2026-08-06,cleaning,68
expense,2026-08-09,transport,84
expense,2026-08-09,fast_food,32
expense,2026-08-10,utilities,229.09
expense,2026-08-11,groceries,364
expense,2026-08-11,fast_food,72
income,2026-08-11,freelance,1163
ingreso,2026-08-12,freelance,900
expense,2026-08-18,groceries,357
expense,2026-08-18,pets,151
expense,2026-08-18,gf_dates,92
expense,2026-08-21,transport,53
expense,2026-08-21,hygiene,109
expense,2026-08-26,groceries,321
expense,2026-08-28,transport,28
income,2026-08-28,salary,4800
expense,2026-09-01,rent,1500
expense,2026-09-04,subscriptions,48.64
expense,2026-09-04,groceries,306
expense,2026-09-05,telecom,119.9
expense,Sept 5 2026,transport,48
expense,2026-09-08,fast_food,78
expense,2026-09-10,groceries,282
expense,2026-09-12,utilities,209.90
expense,2026-09-14,pets,82
expense,2026-09-17,groceries,400
expense,2026-09-20,fast_food,71
expense,2026-09-22,transport,32
expense,2026-09-24,gf_dates,238
expense,2026-09-25,groceries,356
expense,2026-09-25,transport,61
expense,2026-09-26,hygiene,97
expense,2026-09-26,pharmacy,134.47
expense,2026-09-28,transport,51
income,2026-09-28,salary,4800
